S.No,Text,,,,,,,,,,,,,,,,,,,,,
8,To Honorable Prime Minister.,,,,,,,,,,,,,,,,,,,,,
9,To Honorable Prime Minister.,,,,,,,,,,,,,,,,,,,,,
10,"There are lot of accidents on road which happen due to Sariya (Iron Rod) hanging outside of  carriers like Truck etc. while transporting.We understand that,Mr.Gadkari had already made it an offence and passed instructions to take necessary precautions but unfortunately reality on ground has not much changed. My request is if you can please appeal in MKB program to citizens of our country to take care of this and do this basic responsibility & save lives. Also please can get this law enforced.Thx",,,,,,,,,,,,,,,,,,,,,
1,"Current children, (our future) are having a problem of information overload. Main culprit being digital media and electronic gadgets. Without any difference between Urban or Rural areas, kids are getting exposed to things beyond their age which is creating problems in the society.
Because of the mobile gadgets, kids going out and playing physical games have reduced a lot. They tend to enjoy TV and mobile gadgets which is not at all good for their health. Many schools don't have any play ground.",,,,,,,,,,,,,,,,,,,,,
2,"I would like to add a very important point that the US  and specially the Chinese have ""Digitall Army"" meaning hackers, where as we a ingnorant towards it completely, hackers help alot in discovering important Intel just by algorithms instead of our soilders life.
Even Pakistan uses it sir
Therefore I request you to invest in this idea of Digital army and soon we will be close as dominating as US #mannkibaat #indianarmy",,,,,,,,,,,,,,,,,,,,,
3,"SUBJECT: TO REJUVENATE AYURVDA, NATUROPATHY, HOMEOPATHY AND HERBAL TREATMENTS FOR THE POOR & NOT-SO-RICH PEOPLE OF INDIA",,,,,,,,,,,,,,,,,,,,,
4,"Dear sir.
Congratulations for the sucessful stride in all decitions, which you and your team have taken up.
Fine. Students are inspired and writing exams. I wish your moral support even for the teacher in any cadre those who are doing valuation work. Though it is their resposibility, due to privatasation, they have undefinable problems & been sandwitched. Also my wish some solution for * Anganawadi* teacher community ( more than 20 thosa. women) those are on stroke in karnataka from 3 days.",,,,,,,,,,,,,,,,,,,,,
5,"Sir,
I have been airtel customer for past many years but want to switch to reliance/ other as the bill charges are very high. But do not want to comprise with the phone number. I request that the phone number should be unique like PAN  and irrespective of the service providers. It will be a big relief for the customers.",,,,,,,,,,,,,,,,,,,,,
6,"Sir,
I would like to bring to your notice the status of bright medical students. The medical aspirants are supposed to take medical subjects in high Standard. Not all become doctors and want to seek admission in other courses like B.Pharm, Basic Sciences, Biotechnology, genetic engg. But for admission to these very courses in BITS Pilani, IIT and IISER  they are evaluated for Maths. The students should also be eligible for B.TEch in Biotech and genetics. Kindly look into the matter",,,,,,,,,,,,,,,,,,,,,
7,"http://economictimes.indiatimes.com/news/economy/foreign-trade/why-the-t...
Sir, From the above link it can be clearly seen that india largely depends on chinese imports on electronics, machinery equipment and chemicals, improve manufacturing in these sectors and reduce dependence on china. Exports from China stood at $2.28 trillion in 2015, So, we can learn to set goals like to reach 1 trillion Exports by 2019.",,,,,,,,,,,,,,,,,,,,,
8,With ref to my complaint no. PMOPG/E/2017/0085645 against Dena Bank Nagpur Zone which is not giving posting at a place where husband is working to my wife Mrs Ankita Bhawatmange because of that we are living separately since our marriage 15-02-2016.Instead of several communication Dena Banks Nagpur Zone sent  forcefully letter to join Gondia city which is 4hrs far from Nagpur.I am requesting you to made it mandatory to all PSU bank to post Husband and wife at a same place to settle in life.,,,,,,,,,,,,,,,,,,,,,
9,"http://www.businessinsider.com/industries-that-will-drive-millionaire-gr..., Focus top 13 sectors in the link will boost economy & reduce chinese goods imports in to our country.",,,,,,,,,,,,,,,,,,,,,
10,"DEAR MODI GARU,
               THIS IS PANDU,I HAVE ONE DOUGHT RELATED TO PUBLIC MONEY,I SAW NUMBER OF DEVELOPMENT PROGRAMMES FROM 2004 T0 2017,MY VILLAGE MACHAVARAM,PONNUR MANDAL,GUNTUR(D),A.P. IN MY VILLAGE CONGRESS M.P J.D SILLAM GARU CONSTRUCT ONE DRINKINING  WATER PLANT IN CONGRESS RULING PERIOD.ON THAT PLANT NAME WAS M.P J.D SILLAM GARU FUNDS.MY QUESTION THAT IS PUBLIC MONEY NOT M.P J.D SILAM GARU PERSONAL POCKET MONEY.SO PRESENT NOT WORKING WATER PLANT BECAUSE OF T.D.P RULING PARTY.",,,,,,,,,,,,,,,,,,,,,
1,I know foreign affairs are very complicated and a common man like me is far from analysing the relations as close as a government but it hurts when a country like china stands against us and provoke us by assisting pakistan in international forum please give biffiting reply to china by boosting our economy through promoting manufacturing and reduce on the dependence of imported chinese manufactured goods. Please promote Manufacturing on war-footing steps.,,,,,,,,,,,,,,,,,,,,,
2,"Sir,
I want to bring to your notice @ age limit in various exams we have in India. IAS, IFS, IRS age limit for UPSC is 30. These are managers of district, organization, projects etc. Why can't a person of any age & experiences be allowed to appear for UPSC so that one can deliver best to the country. A person at 40 can also be a great help to govt agencies, if qualification is appropriate. Can you consider to relax age for such exams where physical fitness does not matter.
Viraj Deshpande",,,,,,,,,,,,,,,,,,,,,
3,"Sir,Kindly look into the matter of plight of resident doctors.They are not demanding a rise in pay or decreased hours of work. All they are asking for is a safe and secure work place environment,which should be a right of every individual.These people work tirelessly day after day to take care of sick people & at what cost? To get beaten up by relatives of patients.Moreover,high court coming up with statements like if you can't take beatings then leave the job is highly insensitive to the issue.",,,,,,,,,,,,,,,,,,,,,
4,"#MannkiBaat
Kailasha Foundation (www.kailashafoundation.org) is a FREE, ONLINE portal for students suffering from lack of knowledge and information and provides free counselling, query solving, doubts discussion, topics by video lectures and articles from Primary to Masters, From each and every subject like law, engineering, journalism, medical, cinematography, psychology via own website, WhatsApp, twitter, LinkedIn and various methods by a team of dedicated professionals for #EducatedIndia",,,,,,,,,,,,,,,,,,,,,
5,"i am from odisha ,Nayagarh district sir. Polythene which has an adverse effect on our health , environment and society has been ban by CPCB and OSPC but is only in paper.It is more dangerous due to when it contact with hot food as ethylene melt and enters into our body.We use it as there is no alternative.As you made the clean india an movement so i urge under your feet to make it  so not only for us but for our future generation . Merely rules are not enough until it implemented in reality.",,,,,,,,,,,,,,,,,,,,,
6,"Dear Sir,",,,,,,,,,,,,,,,,,,,,,
7,"Respected sir,
Subject: Agricultural",,,,,,,,,,,,,,,,,,,,,
8,"Dear Sir,
Sia Arpan Ram here
I am a female 21 from bhilai chhatisgarh
I am also an RJ. I spoke for second time on Radio  programme akaashwaani ' kisley'my broadcast is also on 26thmarch will u listen... i write short poetries  on social problems want to write for the upliftment of society... ",,,,,,,,,,,,,,,,,,,,,
9,"Dear Sir, I would like you to focus on the existing education system in the country. The medical private colleges has raised their annual fees upto 20-25 lakhs which is not at all possible for a middle class family to pay. Education system has became a mode of earning for all the private colleges. Earlier they were taking donations and from last year As NEET has been introduced, they have raised their fees. Sir, I belong to a middle class family and its not possible for us to pay so much fees.",,,,,,,,,,,,,,,,,,,,,
10,"Respected Sir,
With utmost respect i want to say that i belong from Aligarh U.P. and had friends from various communities. I want to share the closure of beef ban debate. Sir, it was a good decision but from a poor person's perspective, he or she cannot afford the high quality meat since mutton is much expensive than beef. So, if the gov. can help in goat breeding program, prices will go down and buying beef would not be an option. The meat so given, would be ethical, cheap and of good quality.",,,,,,,,,,,,,,,,,,,,,
1,"my daughter got fever.i admitted her in lotus hospital in agra.doctors willingly gave her wrong treatment which was dangerous to her life to admit her in icu to make money, I'm a single mother.i asked one of my friend officer in health ministry in Delhi.he talked to docs.then docs got afraid and said to me to take her soon to Delhi. I got discharged my daughter from there and showed her to another doctor who treated her in two days well.please take some action so that doctor can't cheat fromlife",,,,,,,,,,,,,,,,,,,,,
2,"Dear sir,Please supervise the education system in Odisha ,You will be shock to know that Rally,Road shows,strikes ,agitations of Odisha's teacher are common and everyday's headlines of Odisha,Which is totally not acceptable for a department like education.Education should be strong enough, as education is base overall.I have already posted many times on this situation, but have no any result.Again if you placed some  words on this at ""Mann ki bath"" then may have some effect there.",,,,,,,,,,,,,,,,,,,,,
3,"Dear ModiJi.This is about Cow and Buffaloes watchers (Cow Boys) shortage in the entire our country. Hence I request you to consider appointing Grama Go Palaka's (Cow watchers) in Villages as employees of state or central Govt.For the following reasons:People are not taking this job/profession:1)It is under paid or less paid' 2)Seasonal job 3)Kind of bad reputation/bad respect for this occupation in the society. Appointing as""Grama,Go Palaka"" will remove bad image on them in the society.",,,,,,,,,,,,,,,,,,,,,
4,"Sir Pranam, I am a MSc student ,As u know the importance of NET exam for us , and also I look forward to serve country by hoping to be an IAS officer in future,but I am vary much sorry that this year both NET and Civil service exam are on the same date i.e 18.06.17,I am very much sorry and  both department are denying to change the date ,Plz sir  help ,with a great respect and love,Yours
Shiba Shankar Rohidas
Mob- 9692602219
(Bargarh,Odisha)",,,,,,,,,,,,,,,,,,,,,
